Year,Country,Gas Flaring,Per Capita,Bunker fuels (Not in Total)
1950,CANADA,0,3.06,1230
1951,CANADA,0,3.14,1335
1952,CANADA,0,3,1369
1953,CANADA,347,2.94,1489
1954,CANADA,0,2.9,1335
1955,CANADA,571,2.94,1480
1956,CANADA,906,3.2,1535
1957,CANADA,1144,3,1802
1958,CANADA,1129,2.91,1541
1959,CANADA,861,2.88,1828
1960,CANADA,875,2.94,1851
1961,CANADA,1090,2.9,1937
1962,CANADA,1258,3.03,2044
1963,CANADA,1237,3.04,2148
1964,CANADA,1155,3.36,2220
1965,CANADA,1149,3.49,2455
1966,CANADA,1158,3.52,2686
1967,CANADA,1142,3.75,2731
1968,CANADA,1172,3.95,2975
1969,CANADA,1221,3.93,3119
1970,CANADA,1311,4.29,2780
1971,CANADA,1241,4.36,2644
1972,CANADA,1189,4.65,2858
1973,CANADA,1152,4.6,3162
1974,CANADA,965,4.65,2914
1975,CANADA,728,4.68,2416
1976,CANADA,664,4.65,2350
1977,CANADA,635,4.7,2308
1978,CANADA,691,4.73,2580
1979,CANADA,805,4.97,1992
1980,CANADA,855,4.93,1896
1981,CANADA,811,4.73,1336
1982,CANADA,781,4.52,1077
1983,CANADA,837,4.41,955
1984,CANADA,1175,4.54,913
1985,CANADA,1367,4.45,758
1986,CANADA,1294,4.22,774
1987,CANADA,1285,4.43,994
1988,CANADA,1417,4.62,1112
1989,CANADA,1272,4.62,1309
1990,CANADA,1191,4.28,1526
1991,CANADA,1297,4.15,1487
1992,CANADA,1356,4.24,1564
1993,CANADA,1234,4.23,1415
1994,CANADA,1234,4.29,1505
1995,CANADA,1286,4.35,1577
1996,CANADA,1228,4.42,1642
1997,CANADA,1292,4.52,1609
1998,CANADA,1674,4.59,1807
1999,CANADA,1261,4.63,1748
2000,CANADA,1263,4.75,1760
2001,CANADA,1102,4.65,1869
2002,CANADA,1174,4.53,1507
2003,CANADA,1114,4.77,1014
2004,CANADA,1026,4.71,1264
2005,CANADA,990,4.71,1459
2006,CANADA,1080,4.55,1292
2007,CANADA,983,4.58,1173
2008,CANADA,956,4.58,1168
2009,CANADA,834,4.34,1195
2010,CANADA,804,4.27,1518
2011,CANADA,873,4.25,1223
2012,CANADA,968,4.05,1171
2013,CANADA,983,4,1048
2014,CANADA,1059,4.12,914